Year,Feature_Name,Landcover_Class,Developable_Area_km2,Proportion
2005,Big Beef,Agriculture,0.081,0.0036334275356751803
2005,Big Beef,Forest,18.8253,0.8444489228844032
2005,Big Beef,Low Intensity,1.2880800000000001,0.05777957927222562
2005,Big Beef,Medium Intensity,0.08352,0.00374646717747356
2005,Big Beef,Open Space,2.0151,0.09039160313022232
2005,Cedar,Agriculture,2.04066,0.037358926121017724
2005,Cedar,Forest,14.2506,0.2608901262432809
2005,Cedar,High Intensity,0.79074,0.014476327128168182
2005,Cedar,Low Intensity,10.466280000000001,0.1916095780007875
2005,Cedar,Medium Intensity,6.54498,0.11982111310951335
2005,Cedar,Open Space,20.52972,0.3758439293972321
2005,Chambers,Agriculture,5.032439999999999,0.03370787157718522
2005,Chambers,Forest,13.683240000000001,0.09165191374478535
2005,Chambers,High Intensity,12.04884,0.08070459664287481
2005,Chambers,Low Intensity,47.68056,0.31937021266245713
2005,Chambers,Medium Intensity,38.85678,0.26026742841552375
2005,Chambers,Open Space,31.993739999999995,0.21429797695717348
2005,Deschutes,Agriculture,38.265660000000004,0.30482048195728195
2005,Deschutes,Forest,51.487019999999994,0.4101405366121374
2005,Deschutes,High Intensity,0.8654399999999999,0.006894011948155421
2005,Deschutes,Low Intensity,11.06172,0.08811659544615447
2005,Deschutes,Medium Intensity,5.85918,0.04667365729613008
2005,Deschutes,Open Space,17.99604,0.14335471674014053
2005,Duckabush,Forest,1.55952,0.8094931000301262
2005,Duckabush,Low Intensity,0.0864,0.0448472767051621
2005,Duckabush,Open Space,0.28062,0.14565962326471166
2005,Dungeness,Agriculture,30.85362,0.49961088360027406
2005,Dungeness,Forest,20.68542,0.3349578092892432
2005,Dungeness,High Intensity,0.2124,0.0034393809114359
2005,Dungeness,Low Intensity,4.29318,0.06951921535479541
2005,Dungeness,Medium Intensity,1.08018,0.017491292245361882
2005,Dungeness,Open Space,4.6305,0.07498141859888943
2005,Elwha,Agriculture,1.37574,0.09734527395411571
2005,Elwha,Forest,12.267900000000001,0.8680114477736348
2005,Elwha,Low Intensity,0.23381999999999997,0.0165463743799206
2005,Elwha,Medium Intensity,0.0072,0.0005094599745918201
2005,Elwha,Open Space,0.24858000000000002,0.0175874439177369
2005,Goldsborough,Agriculture,3.7962000000000002,0.026224403596123318
2005,Goldsborough,Forest,130.97232,0.9047616101871192
2005,Goldsborough,High Intensity,0.55584,0.0038397720860047597
2005,Goldsborough,Low Intensity,4.1112,0.028399657045706017
2005,Goldsborough,Medium Intensity,2.1050999999999997,0.014542405604866382
2005,Goldsborough,Open Space,3.21822,0.02223215148018006
2005,Green,Agriculture,46.665,0.1622235937003982
2005,Green,Forest,49.048919999999995,0.17051092945359614
2005,Green,High Intensity,30.031380000000002,0.10439939571208896
2005,Green,Low Intensity,53.513999999999996,0.18603304397996503
2005,Green,Medium Intensity,45.81576,0.1592713381217005
2005,Green,Open Space,62.583479999999994,0.21756169903225092
2005,Hoko,Agriculture,0.059399999999999994,0.00048068869580409994
2005,Hoko,Forest,123.0606,0.9958558807892034
2005,Hoko,Low Intensity,0.06786,0.00054915041914592
2005,Hoko,Medium Intensity,0.1476,0.0011944385774527
2005,Hoko,Open Space,0.23723999999999998,0.00191984151839358
2005,Huge,Agriculture,1.31364,0.04311964549483008
2005,Huge,Forest,19.35324,0.635261447562777
2005,Huge,High Intensity,0.0108,0.000354505169867
2005,Huge,Low Intensity,2.87424,0.09434564254062032
2005,Huge,Medium Intensity,0.55026,0.0180620384047267
2005,Huge,Open Space,6.36282,0.20885672082717868
2005,Issaquah,Agriculture,4.1013,0.08452904983788548
2005,Issaquah,Forest,21.41604,0.4413899940574278
2005,Issaquah,High Intensity,1.26594,0.0260913006990638
2005,Issaquah,Low Intensity,3.66642,0.07556572078662252
2005,Issaquah,Medium Intensity,3.5721000000000003,0.07362178067478967
2005,Issaquah,Open Space,14.497739999999999,0.2988021539442105
2005,Juanita,Forest,0.0063,0.0005878894767783
2005,Juanita,High Intensity,0.9054,0.08448811623414795
2005,Juanita,Low Intensity,4.12632,0.38505081044763584
2005,Juanita,Medium Intensity,4.42404,0.41283278743596197
2005,Juanita,Open Space,1.25424,0.11704039640547574
2005,Mercer,Forest,0.24569999999999997,0.0105842670491993
2005,Mercer,High Intensity,3.3724800000000004,0.1452797270577288
2005,Mercer,Low Intensity,8.52732,0.3673399759624704
2005,Mercer,Medium Intensity,7.1562600000000005,0.3082774396153995
2005,Mercer,Open Space,3.91194,0.16851859031520178
2005,Nisqually,Agriculture,167.93712,0.2117182179303499
2005,Nisqually,Forest,547.9601399999999,0.6908130648593405
2005,Nisqually,High Intensity,0.48149999999999993,0.00060702668136076
2005,Nisqually,Low Intensity,26.023320000000002,0.03280757400246702
2005,Nisqually,Medium Intensity,4.80978,0.00606368353038488
2005,Nisqually,Open Space,45.99864,0.05799043299609672
2005,Nooksack,Agriculture,288.59274,0.6751661205510869
2005,Nooksack,Forest,89.50158,0.2093899296292224
2005,Nooksack,High Intensity,1.8660599999999998,0.00436567446467842
2005,Nooksack,Low Intensity,13.40838,0.0313690080027794
2005,Nooksack,Medium Intensity,7.8290999999999995,0.01831624576190086
2005,Nooksack,Open Space,26.241840000000003,0.06139302159033176
2005,Puyallup,Agriculture,83.66634,0.08026623373705297
2005,Puyallup,Forest,748.09386,0.7176921490259239
2005,Puyallup,High Intensity,15.464339999999998,0.0148358854367879
2005,Puyallup,Low Intensity,71.51741999999999,0.06861102952323146
2005,Puyallup,Medium Intensity,43.87122,0.04208834256573922
2005,Puyallup,Open Space,79.74719999999999,0.07650635971126415
2005,Quilcene,Agriculture,0.3015,0.0885072655217965
2005,Quilcene,Forest,2.5461,0.7474240422721269
2005,Quilcene,Low Intensity,0.1665,0.0488771466314399
2005,Quilcene,Medium Intensity,0.0468,0.0137384412153236
2005,Quilcene,Open Space,0.3456,0.10145310435931301
2005,Samish,Agriculture,55.629,0.4725203202197659
2005,Samish,Forest,50.15898,0.4260571562905355
2005,Samish,High Intensity,0.0036,3.0578888976242673e-05
2005,Samish,Low Intensity,2.13462,0.018131746757540222
2005,Samish,Medium Intensity,0.5228999999999999,0.0044415837640218395
2005,Samish,Open Space,9.27918,0.07881861407916017
2005,Sammamish,Agriculture,3.19842,0.013410188076507701
2005,Sammamish,Forest,37.9026,0.1589163020345287
2005,Sammamish,High Intensity,12.987,0.054451323786319006
2005,Sammamish,Low Intensity,56.032560000000004,0.23493079942768375
2005,Sammamish,Medium Intensity,40.7565,0.1708820531680896
2005,Sammamish,Open Space,87.62958,0.36740933350687105
2005,Skagit,Agriculture,96.60258,0.38937236555194293
2005,Skagit,Forest,107.92080000000001,0.43499177463598454
2005,Skagit,High Intensity,1.9616399999999998,0.0079066524789481
2005,Skagit,Low Intensity,12.57606,0.05068981674810789
2005,Skagit,Medium Intensity,8.45298,0.03407112368952142
2005,Skagit,Open Space,20.58444,0.0829682668954949
2005,Skokomish,Agriculture,8.74314,0.06533815309138091
2005,Skokomish,Forest,121.81661999999999,0.9103441918322396
2005,Skokomish,Low Intensity,1.1332799999999998,0.00846908352525028
2005,Skokomish,Medium Intensity,0.09395999999999993,0.0007021793615810199
2005,Skokomish,Open Space,2.0268,0.01514639218954796
2005,Snohomish,Agriculture,152.7291,0.15619638472647807
2005,Snohomish,Forest,562.1252400000001,0.5748867103765457
2005,Snohomish,High Intensity,6.96276,0.00712083014641082
2005,Snohomish,Low Intensity,54.208079999999995,0.05543872224037424
2005,Snohomish,Medium Intensity,33.562259999999995,0.03432419710553578
2005,Snohomish,Open Space,168.21432,0.17203315540465516
2005,Stillaguamish,Agriculture,93.34008,0.18157754518673147
2005,Stillaguamish,Forest,370.27908,0.7203158184649965
2005,Stillaguamish,High Intensity,0.9432,0.00183483737420176
2005,Stillaguamish,Low Intensity,7.3362599999999984,0.014271454309044859
2005,Stillaguamish,Medium Intensity,3.3089399999999998,0.0064369822435446
2005,Stillaguamish,Open Space,38.84346,0.07556336242148057
2015,Big Beef,Agriculture,0.081,0.0036332808585311
2015,Big Beef,Forest,18.84255,0.8451886029006013
2015,Big Beef,Low Intensity,1.2891000000000001,0.05782300126881282
2015,Big Beef,Medium Intensity,0.061499999999999964,0.0027586026765690336
2015,Big Beef,Open Space,2.01975,0.09059651229548564
2015,Cedar,Agriculture,2.08215,0.038119332342805616
2015,Cedar,Forest,14.0124,0.2565345575792651
2015,Cedar,High Intensity,0.8066999999999999,0.014768797760754482
2015,Cedar,Low Intensity,10.41075,0.19059662368831862
2015,Cedar,Medium Intensity,6.778199999999999,0.12409297648344857
2015,Cedar,Open Space,20.5317,0.37588771214540745
2015,Chambers,Agriculture,4.08315,0.027341076844904697
2015,Chambers,Forest,12.9129,0.0864661350616181
2015,Chambers,High Intensity,12.52875,0.0838942880251084
2015,Chambers,Low Intensity,47.951249999999995,0.3210876018850873
2015,Chambers,Medium Intensity,39.658500000000004,0.2655582463990312
2015,Chambers,Open Space,32.2056,0.21565265178425008
2015,Deschutes,Agriculture,38.5224,0.3068716787112541
2015,Deschutes,Forest,50.304300000000005,0.40072698434277987
2015,Deschutes,High Intensity,0.9145499999999999,0.007285358364117933
2015,Deschutes,Low Intensity,11.357550000000002,0.09047490805398713
2015,Deschutes,Medium Intensity,5.876549999999999,0.04681293666847303
2015,Deschutes,Open Space,18.55725,0.14782813385938773
2015,Duckabush,Forest,1.5583500000000001,0.8097437089230938
2015,Duckabush,Low Intensity,0.08595000000000001,0.04466103754693245
2015,Duckabush,Open Space,0.2802,0.14559525352997363
2015,Dungeness,Agriculture,29.611649999999997,0.47949973524539596
2015,Dungeness,Forest,20.67855,0.33484656377671224
2015,Dungeness,High Intensity,0.19034999999999994,0.003082326537155467
2015,Dungeness,Low Intensity,4.70475,0.07618374455309902
2015,Dungeness,Medium Intensity,1.1807999999999998,0.019120626083915016
2015,Dungeness,Open Space,5.3892,0.08726700380372204
2015,Elwha,Agriculture,1.37655,0.09705851523750277
2015,Elwha,Forest,12.31935,0.8685874449976457
2015,Elwha,Low Intensity,0.22949999999999995,0.016184170181853735
2015,Elwha,Medium Intensity,0.0057,0.00040180619251846666
2015,Elwha,Open Space,0.252,0.017768063390479084
2015,Goldsborough,Agriculture,3.7233,0.025743426919094314
2015,Goldsborough,Forest,130.6821,0.9035549449989916
2015,Goldsborough,High Intensity,0.582,0.0040240310211596166
2015,Goldsborough,Low Intensity,3.98085,0.027524181118298584
2015,Goldsborough,Medium Intensity,2.28885,0.01582544289506437
2015,Goldsborough,Open Space,3.3739500000000002,0.02332797304739123
2015,Green,Agriculture,44.90325000000001,0.15609396325354183
2015,Green,Forest,48.55665,0.16879410907015924
2015,Green,High Intensity,30.56895,0.10626473776984736
2015,Green,Low Intensity,54.15225,0.18824575939146773
2015,Green,Medium Intensity,46.434,0.1614153443720732
2015,Green,Open Space,63.0528,0.21918608614291038
2015,Hoko,Agriculture,0.0594,0.0004806886958041
2015,Hoko,Forest,123.06059999999998,0.9958558807892034
2015,Hoko,Low Intensity,0.06854999999999999,0.0005547341767234667
2015,Hoko,Medium Intensity,0.14685,0.0011883692757380167
2015,Hoko,Open Space,0.23729999999999996,0.0019203270625307335
2015,Huge,Agriculture,1.254,0.04114633689996207
2015,Huge,Forest,19.1271,0.6276003090455123
2015,Huge,High Intensity,0.010799999999999999,0.00035437083070285
2015,Huge,Low Intensity,2.9960999999999998,0.09830832911778124
2015,Huge,Medium Intensity,0.45419999999999994,0.014903231801979234
2015,Huge,Open Space,6.63435,0.21768742230406213
2015,Issaquah,Agriculture,3.6703500000000004,0.07563696914626365
2015,Issaquah,Forest,21.309299999999997,0.43913493166535517
2015,Issaquah,High Intensity,1.2684,0.026138803411099216
2015,Issaquah,Low Intensity,3.7754999999999996,0.07780433400099929
2015,Issaquah,Medium Intensity,3.65535,0.07532830461645541
2015,Issaquah,Open Space,14.846699999999998,0.30595665715982706
2015,Juanita,Forest,0.0063,0.0005878894767783
2015,Juanita,High Intensity,0.91125,0.08503401360544216
2015,Juanita,Low Intensity,4.16895,0.38902886257383607
2015,Juanita,Medium Intensity,4.40865,0.4113966574284034
2015,Juanita,Open Space,1.22115,0.11395257691553984
2015,Mercer,Forest,0.2427,0.010453270202338867
2015,Mercer,High Intensity,3.4479,0.14850382628478742
2015,Mercer,Low Intensity,8.55015,0.3682616197932255
2015,Mercer,Medium Intensity,7.084350000000001,0.3051283515301733
2015,Mercer,Open Space,3.8925,0.16765293218947472
2015,Nisqually,Agriculture,167.58915,0.2112745556592022
2015,Nisqually,Forest,544.0713,0.6858940285301562
2015,Nisqually,High Intensity,0.4872,0.0006141983460902166
2015,Nisqually,Low Intensity,27.003600000000002,0.034042638431044464
2015,Nisqually,Medium Intensity,4.902,0.006179804630463683
2015,Nisqually,Open Space,49.175999999999995,0.0619947744030429
2015,Nooksack,Agriculture,286.5444,0.6703279871084632
2015,Nooksack,Forest,88.60289999999999,0.20727324363625557
2015,Nooksack,High Intensity,2.1768,0.005092328534395716
2015,Nooksack,Low Intensity,14.0127,0.03278073650216309
2015,Nooksack,Medium Intensity,8.4912,0.019863951133972116
2015,Nooksack,Open Space,27.6408,0.06466175308475021
2015,Puyallup,Agriculture,79.79129999999999,0.07654697098804585
2015,Puyallup,Forest,745.4865,0.715174721419797
2015,Puyallup,High Intensity,16.8732,0.01618712157758405
2015,Puyallup,Low Intensity,73.10235,0.07012997098329572
2015,Puyallup,Medium Intensity,46.3884,0.044502213775569836
2015,Puyallup,Open Space,80.742,0.07745900125570737
2015,Quilcene,Agriculture,0.3015,0.0885072655217965
2015,Quilcene,Forest,2.5414499999999998,0.7460590048436813
2015,Quilcene,Low Intensity,0.1494,0.043857331571994666
2015,Quilcene,Medium Intensity,0.0474,0.013914575077058533
2015,Quilcene,Open Space,0.36674999999999996,0.10766182298546893
2015,Samish,Agriculture,55.48215,0.47127544407813476
2015,Samish,Forest,50.035050000000005,0.4250067737769305
2015,Samish,High Intensity,0.0036000000000000003,3.057905259031136e-05
2015,Samish,Low Intensity,2.23185,0.018957738707699585
2015,Samish,Medium Intensity,0.45539999999999997,0.003868246743591317
2015,Samish,Open Space,9.519599999999999,0.08086121764105335
2015,Sammamish,Agriculture,2.8377,0.01189797194322475
2015,Sammamish,Forest,36.933299999999996,0.15485492252746672
2015,Sammamish,High Intensity,13.81065,0.05790569635178148
2015,Sammamish,Low Intensity,55.92825,0.23449746747905453
2015,Sammamish,Medium Intensity,42.710100000000004,0.17907613282703969
2015,Sammamish,Open Space,86.28255,0.3617678088714326
2015,Skagit,Agriculture,95.4534,0.3843136072885293
2015,Skagit,Forest,107.8272,0.43413275540647067
2015,Skagit,High Intensity,2.0817,0.008381314254980418
2015,Skagit,Low Intensity,12.432450000000001,0.050055402235828196
2015,Skagit,Medium Intensity,8.45085,0.0340247461666591
2015,Skagit,Open Space,22.12815,0.0890921746475321
2015,Skokomish,Agriculture,8.777849999999999,0.06559349895903917
2015,Skokomish,Forest,121.7958,0.9101336120749345
2015,Skokomish,Low Intensity,1.0926,0.008164559343634267
2015,Skokomish,Medium Intensity,0.0911999999999999,0.0006815064243606335
2015,Skokomish,Open Space,2.0644500000000003,0.015426823198031235
2015,Snohomish,Agriculture,147.55485,0.1509282770110912
2015,Snohomish,Forest,557.71485,0.5704668199886852
2015,Snohomish,High Intensity,7.221900000000001,0.0073870427472979
2015,Snohomish,Low Intensity,55.96725,0.05724708413732859
2015,Snohomish,Medium Intensity,34.69155,0.03548490854822661
2015,Snohomish,Open Space,174.4956,0.17848586756737028
2015,Stillaguamish,Agriculture,91.5951,0.1781388860095928
2015,Stillaguamish,Forest,369.69615,0.7190040879767019
2015,Stillaguamish,High Intensity,0.9666,0.0018798936927089665
2015,Stillaguamish,Low Intensity,7.1601,0.013925323107778548
2015,Stillaguamish,Medium Intensity,3.8991000000000002,0.007583163294082766
2015,Stillaguamish,Open Space,40.86105,0.07946864591913476
