Watershed,Month,Monthly_Avg_Flow,Monthly_Min_Flow,Monthly_Max_Flow
Huge,1,0.8465749593495936,0.5735341463414635,1.1320568292682929
Huge,2,0.7470589105691056,0.566729024390244,1.2523663414634145
Huge,3,0.9079335365853659,0.620748536585366,1.4114512195121949
Huge,4,0.5716816016260162,0.41998560975609767,0.7688529268292684
Huge,5,0.3777754715447155,0.3188019512195123,0.4626582926829267
Huge,6,0.2960393414634146,0.26695097560975606,0.34601585365853665
Huge,7,0.2564938780487805,0.24319926829268299,0.2725685365853659
Huge,8,0.23299253658536584,0.22186829268292685,0.24625902439024389
Huge,9,0.24038526016260164,0.22601926829268293,0.2744656097560975
Huge,10,0.2873001300813008,0.23491756097560976,0.40314609756097564
Huge,11,0.4763499024390244,0.3178563414634145,0.8281543902439024
Huge,12,5.794500139372822,0.6428058536585366,18.325961707317074
Deschutes,1,2.2854491025641024,1.529943846153846,3.2052230769230765
Deschutes,2,2.2314490256410258,1.6178046153846153,3.3254692307692313
Deschutes,3,2.6632488205128206,1.8920538461538463,4.244107692307693
Deschutes,4,2.0649112820512823,1.5252607692307691,2.7332146153846155
Deschutes,5,1.1892690769230767,0.9605423076923074,1.5294492307692307
Deschutes,6,0.7822405384615384,0.6048123076923078,0.9864207692307689
Deschutes,7,0.48683964102564103,0.4185269230769231,0.5898638461538461
Deschutes,8,0.3776981538461538,0.33144461538461545,0.41284
Deschutes,9,0.3697205641025641,0.3312900000000001,0.46699076923076926
Deschutes,10,0.708231846153846,0.42147307692307684,1.3298238461538463
Deschutes,11,1.673928,0.8507076923076924,3.0516
Deschutes,12,2.305389318681319,1.4846715384615383,3.761423076923078
Nisqually,1,19.07926666666667,15.662499999999998,25.588
Nisqually,2,19.391366666666666,15.578999999999999,25.588
Nisqually,3,19.26218333333333,14.4485,26.8645
Nisqually,4,16.619783333333334,14.453499999999998,18.2365
Nisqually,5,13.048989999999998,10.467500000000001,16.7255
Nisqually,6,8.691384999999999,6.346299999999999,10.243549999999999
Nisqually,7,6.103046666666666,5.5698,6.43485
Nisqually,8,6.143866666666667,5.1317,7.11745
Nisqually,9,4.984638333333334,4.613249999999999,5.8668
Nisqually,10,7.340678333333333,5.51785,9.36295
Nisqually,11,12.28098,7.23725,19.241999999999997
Nisqually,12,19.608485714285713,15.855,27.672
Puyallup,1,66.90366666666667,47.99,85.26
Puyallup,2,60.84299999999999,47.05,74.57
Puyallup,3,57.774999999999984,47.55,81.32
Puyallup,4,61.629333333333335,52.43,68.91
Puyallup,5,66.05233333333334,53.6,76.53
Puyallup,6,60.241,51.83,74.14
Puyallup,7,42.64933333333333,35.25,55.09
Puyallup,8,29.39766666666667,23.4,35.73
Puyallup,9,23.622666666666664,20.34,27.66
Puyallup,10,31.856333333333335,18.81,67.68
Puyallup,11,58.62733333333333,33.69,87.98
Puyallup,12,61.87314285714285,46.29,86.19
Green,1,36.42399999999999,26.45,43.42
Green,2,34.683,22.71,43.62
Green,3,29.731666666666662,23.11,39.55
Green,4,32.418,28.95,37.82
Green,5,26.176000000000002,20.36,31.23
Green,6,16.836666666666666,12.43,22.69
Green,7,8.183966666666668,6.006,11.84
Green,8,5.175266666666667,4.993,5.79
Green,9,6.3005,5.089,9.192
Green,10,14.337,9.88,26.64
Green,11,27.329333333333338,16.57,39.07
Green,12,32.388571428571424,23.25,43.63
BigBeef,1,6.184339277777778,4.244412611111112,10.09709038888889
BigBeef,2,4.841270642222224,3.323195488888889,6.606417711111111
BigBeef,3,5.723360225925926,3.5571654111111113,11.11976541111111
BigBeef,4,2.678723720740741,1.6876115444444446,3.9847435000000004
BigBeef,5,1.2248188537037037,0.8984038444444445,1.6028874555555557
BigBeef,6,0.75627411,0.5926860777777778,0.9451749666666667
BigBeef,7,0.5427603014814815,0.44622337777777776,0.7228256000000001
BigBeef,8,2.0168663466666668,0.5432822666666666,6.981040311111111
BigBeef,9,2.0346603807407404,0.9769502111111112,6.600372433333333
BigBeef,10,2.9622745696296295,1.4412717,5.400806977777778
BigBeef,11,4.339496612222222,1.8725069777777779,8.025078188888891
BigBeef,12,7.265385647301587,4.561736744444444,14.069436744444442
Quilcene,1,6.134766666666667,2.951,11.47
Quilcene,2,4.521733333333333,2.8,8.939
Quilcene,3,4.894799999999999,3.338,7.036
Quilcene,4,4.430866666666666,3.792,6.241
Quilcene,5,4.735766666666667,3.775,6.184
Quilcene,6,4.4159,3.889,5.1
Quilcene,7,2.7996999999999996,1.938,3.913
Quilcene,8,1.4173666666666669,1.045,1.874
Quilcene,9,0.9777366666666667,0.88,1.193
Quilcene,10,2.2086666666666663,1.133,4.978
Quilcene,11,69.78913333333334,2.106,373.5
Quilcene,12,233.73114285714286,3.012,448.2
Duckabush,1,11.262483333333332,6.239999999999999,19.564999999999998
Duckabush,2,8.353083333333336,5.1005,14.61
Duckabush,3,8.654633333333333,6.4935,12.049999999999999
Duckabush,4,8.575283333333335,6.8635,11.465
Duckabush,5,10.047516666666667,7.1945,12.264999999999999
Duckabush,6,9.289433333333333,8.3275,11.365
Duckabush,7,6.184133333333334,4.239,8.2755
Duckabush,8,2.8879333333333337,1.9699999999999998,4.095
Duckabush,9,2.1866833333333333,1.5204999999999997,3.5135
Duckabush,10,6.030483333333334,2.8405,12.965
Duckabush,11,10.304016666666666,5.930999999999999,15.275
Duckabush,12,10.786457142857143,6.276,18.005
Skokomish,1,26.48466666666667,17.529999999999998,38.65
Skokomish,2,20.1624,14.0925,30.65
Skokomish,3,21.869333333333334,16.64,31.220000000000002
Skokomish,4,16.504166666666666,11.811,21.845
Skokomish,5,10.572266666666668,8.9255,14.885000000000002
Skokomish,6,7.655599999999999,6.3405,10.560500000000001
Skokomish,7,4.6283666666666665,3.5885,6.169499999999999
Skokomish,8,3.1708333333333343,2.9265,3.5589999999999997
Skokomish,9,4.2081333333333335,3.0620000000000003,8.8435
Skokomish,10,12.4255,6.638,19.675
Skokomish,11,21.628733333333333,14.001999999999999,33.38
Skokomish,12,24.594428571428573,16.705,41.489999999999995
Skagit,1,319.4266666666666,226.4,409.6
Skagit,2,290.0666666666667,221.9,373.2
Skagit,3,265.41999999999996,223.2,339.7
Skagit,4,269.31666666666666,237.5,300.9
Skagit,5,337.05,254.7,398.6
Skagit,6,358.18333333333334,326.1,395.3
Skagit,7,314.62333333333333,236.4,397.3
Skagit,8,183.66999999999996,139.4,235.5
Skagit,9,153.51666666666668,134.2,184.0
Skagit,10,223.07,157.4,366.6
Skagit,11,338.6366666666666,249.1,435.4
Skagit,12,304.7542857142858,208.7,502.5
Snohomish,1,135.9458,88.391,180.33066666666664
Snohomish,2,124.33892222222224,82.565,171.82666666666668
Snohomish,3,125.36124444444445,91.20333333333333,181.87133333333335
Snohomish,4,141.70013333333333,122.20733333333334,169.54999999999998
Snohomish,5,141.57511111111114,116.984,168.27766666666668
Snohomish,6,114.08915555555556,96.35966666666667,145.24266666666668
Snohomish,7,62.65271666666668,39.032666666666664,96.96233333333335
Snohomish,8,27.379779999999993,20.7384,37.3653
Snohomish,9,27.98534666666667,19.8009,40.0572
Snohomish,10,71.41077333333334,31.030600000000003,182.273
Snohomish,11,146.17105555555557,82.02966666666667,194.32633333333334
Snohomish,12,127.16250476190478,84.641,185.15233333333333
Stillaguamish,1,96.90633333333334,54.38,140.2
Stillaguamish,2,75.07266666666665,44.02,138.6
Stillaguamish,3,87.36566666666667,55.65,138.6
Stillaguamish,4,77.54733333333333,58.74,95.45
Stillaguamish,5,61.35133333333333,46.44,93.94
Stillaguamish,6,39.992666666666665,31.26,52.2
Stillaguamish,7,21.54433333333333,13.76,32.97
Stillaguamish,8,10.564199999999996,8.344,13.31
Stillaguamish,9,16.980466666666665,8.554,30.05
Stillaguamish,10,47.611666666666665,16.53,138.0
Stillaguamish,11,109.65000000000002,50.68,181.5
Stillaguamish,12,93.30428571428571,54.02,194.1
Samish,1,7.6194875,5.180125,13.079125
Samish,2,6.729733333333333,4.659750000000001,12.5985
Samish,3,6.917870833333333,5.086874999999999,10.754124999999998
Samish,4,6.178637500000002,4.08025,8.18425
Samish,5,3.791187083333333,2.3269374999999997,6.648625
Samish,6,1.9849404166666667,1.329625,3.1043374999999997
Samish,7,1.01209,0.67605,1.9316749999999998
Samish,8,0.5496962500000001,0.46462499999999995,0.6586624999999999
Samish,9,0.6778495833333333,0.46772499999999995,1.091625
Samish,10,1.78196875,0.8911375000000001,5.35925
Samish,11,6.356958333333335,2.9209625,9.303625
Samish,12,7.173942857142857,5.2532499999999995,13.64925
Dungeness,1,4.508065833333333,2.5960462499999997,6.8015462499999995
Dungeness,2,3.7096810416666672,2.5694825,6.0819925
Dungeness,3,3.377013333333333,2.6424300000000005,4.3409925
Dungeness,4,3.3261234583333334,2.84935125,4.2002637499999995
Dungeness,5,5.2701734999999985,3.4024400000000004,6.7155475000000004
Dungeness,6,5.686332291666665,5.103595,6.6385950000000005
Dungeness,7,4.295504458333334,3.12868875,5.41260125
Dungeness,8,2.2875134166666666,1.6775875,3.03798875
Dungeness,9,1.4880001250000001,1.3383775,1.8790999999999998
Dungeness,10,2.1153837083333333,1.41801375,4.13393875
Dungeness,11,3.62566825,2.37420125,6.17058875
Dungeness,12,4.216548178571429,2.5540225,8.32146
Nooksack,1,40.11372000000001,23.50712,56.50587
Nooksack,2,32.32125241666667,21.429277499999998,50.839777500000004
Nooksack,3,33.7560825,25.7948825,49.450382499999996
Nooksack,4,33.28294833333334,28.06661,39.45511
Nooksack,5,37.003970333333335,28.45668,43.179919999999996
Nooksack,6,31.988214250000002,27.6477,40.6377
Nooksack,7,24.44777725,17.43255,32.203799999999994
Nooksack,8,13.622310083333334,10.318385000000001,17.0623
Nooksack,9,12.991613833333334,9.9692275,20.2427275
Nooksack,10,20.41962308333333,11.25374,37.84174
Nooksack,11,38.17315166666666,22.5922575,52.827507499999996
Nooksack,12,36.149812142857144,23.0899125,62.582507500000006
Hoko,1,67.10883333333335,40.995000000000005,97.505
Hoko,2,44.714000000000006,30.925,75.75
Hoko,3,52.806999999999995,29.475,87.305
Hoko,4,32.660333333333334,19.895,57.265
Hoko,5,13.224566666666668,8.211,27.615000000000002
Hoko,6,7.788683333333334,5.572,14.26
Hoko,7,3.7348166666666667,2.246,5.7475000000000005
Hoko,8,1.7716166666666666,1.3985,2.452
Hoko,9,5.584083333333334,1.7345000000000002,23.130000000000003
Hoko,10,26.43248333333333,7.94,74.935
Hoko,11,55.46083333333333,29.27,87.06
Hoko,12,58.052,39.45,110.9
Elwha,1,36.980000000000004,24.58,48.68
Elwha,2,28.28366666666666,19.43,43.62
Elwha,3,25.904666666666667,20.48,33.71
Elwha,4,24.56533333333334,21.63,29.7
Elwha,5,31.062666666666665,24.12,37.51
Elwha,6,30.536666666666658,28.02,35.44
Elwha,7,22.762666666666668,16.22,28.89
Elwha,8,11.447833333333332,8.026,15.99
Elwha,9,7.947599999999999,6.418,10.42
Elwha,10,15.640166666666667,8.521,35.0
Elwha,11,31.29733333333333,19.45,55.23
Elwha,12,35.80057142857142,23.1,59.29
